,unique_key,dhn_id,mae,energy_mae,energy_mare_per_loss,cluster
94,74_75_76_77_86_91_92_93_94_dhn_101,101,0.12352304854468134,10630287905.59392,64.43832872150682,"[74, 75, 76, 77, 86, 91, 92, 93, 94]"
95,2_3_4_7_9_10_11_12_13_14_15_16_17_18_20_21_22_23_24_25_dhn_101,101,0.023832036267358938,140474354.41406396,0.6902686940293304,"[2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25]"
96,9_10_11_14_15_16_20_21_22_23_25_dhn_101,101,0.04957572356643708,390580518.92323935,3.1402169225539645,"[9, 10, 11, 14, 15, 16, 20, 21, 22, 23, 25]"
97,2_3_4_9_10_11_12_13_14_15_16_20_21_22_23_24_25_dhn_101,101,0.05352546864971487,497649300.24308264,2.7775900245749776,"[2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25]"
98,9_10_11_16_25_dhn_101,101,0.05405755618852647,535505955.0131509,6.161369227326823,"[9, 10, 11, 16, 25]"
99,9_10_11_16_17_18_25_dhn_101,101,0.09008641631745162,572994116.9223378,6.052501796188795,"[9, 10, 11, 16, 17, 18, 25]"
100,2_3_4_9_10_11_12_13_16_17_18_24_25_dhn_101,101,0.10029815958255928,780265601.6922518,5.220691380925285,"[2, 3, 4, 9, 10, 11, 12, 13, 16, 17, 18, 24, 25]"
101,9_10_11_17_18_25_dhn_101,101,0.09453303762386636,649283177.1186097,7.609289760818453,"[9, 10, 11, 17, 18, 25]"
102,2_3_4_9_10_11_12_13_17_18_24_25_dhn_101,101,0.11657445812689823,966085990.5315385,6.895026870515681,"[2, 3, 4, 9, 10, 11, 12, 13, 17, 18, 24, 25]"
103,74_75_76_86_91_dhn_101,101,0.11980180998671054,476965475.37876195,9.015694295655372,"[74, 75, 76, 86, 91]"
104,9_10_16_21_22_23_25_dhn_101,101,0.10452937112669372,900619394.5870974,8.79922484400723,"[9, 10, 16, 21, 22, 23, 25]"
105,9_10_11_14_16_17_18_21_22_23_25_dhn_101,101,0.21179457968982615,1015145260.6075475,7.710294530970069,"[9, 10, 11, 14, 16, 17, 18, 21, 22, 23, 25]"
106,9_10_11_12_14_16_17_18_20_21_22_23_25_dhn_101,101,0.17358657590693538,1205629024.2730043,7.554567311466005,"[9, 10, 11, 12, 14, 16, 17, 18, 20, 21, 22, 23, 25]"
107,84_95_96_dhn_101,101,0.0858859943811633,1933872887.8382454,26.585194765476547,"[84, 95, 96]"
108,9_10_11_12_14_15_16_20_21_22_23_25_dhn_101,101,0.07050635828404968,728460949.7394652,4.793375659728433,"[9, 10, 11, 12, 14, 15, 16, 20, 21, 22, 23, 25]"
109,9_10_11_12_14_15_16_17_18_20_21_22_23_25_dhn_101,101,0.07109500941340526,482459502.6354375,3.0204767282664866,"[9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25]"
110,74_75_76_86_91_92_93_94_97_dhn_101,101,0.022446796858162164,57793167.37798608,0.7618434089879095,"[74, 75, 76, 86, 91, 92, 93, 94, 97]"
111,2_3_4_9_10_11_12_13_16_24_25_dhn_101,101,0.06597640613899329,747195010.8557103,5.2731061571720845,"[2, 3, 4, 9, 10, 11, 12, 13, 16, 24, 25]"
112,2_3_4_5_6_7_8_9_10_11_12_13_16_17_18_19_24_25_dhn_101,101,0.09809477234994435,875301190.1812742,4.391792373858636,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 24, 25]"
113,2_3_4_5_6_7_8_9_10_11_12_13_17_18_19_24_25_dhn_101,101,0.10260679673059851,967668472.4176847,5.094039223760636,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19, 24, 25]"
114,74_76_dhn_101,101,0.07740796654234876,262098467.0181955,8.029981181596082,"[74, 76]"
115,74_76_86_91_dhn_101,101,0.11076921688745776,426247885.751951,10.059634530050328,"[74, 76, 86, 91]"
116,9_10_11_12_14_16_17_18_21_22_23_25_dhn_101,101,0.18790120335121444,1361616610.7987883,8.55000319406641,"[9, 10, 11, 12, 14, 16, 17, 18, 21, 22, 23, 25]"
117,7_9_10_11_12_14_16_17_18_20_21_22_23_25_dhn_101,101,0.17330866635416473,1228420249.8733113,6.972799479886512,"[7, 9, 10, 11, 12, 14, 16, 17, 18, 20, 21, 22, 23, 25]"
118,9_10_11_12_16_25_dhn_101,101,0.08676262125031091,1072351524.3991692,9.365042014355947,"[9, 10, 11, 12, 16, 25]"
119,2_3_4_7_9_10_11_12_13_14_15_16_20_21_22_23_24_25_dhn_101,101,0.05572863084362288,526082394.5226066,2.687527085690033,"[2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25]"
120,2_3_4_7_9_10_11_12_13_16_17_18_24_25_dhn_101,101,0.08523276177463272,675222861.3782756,4.066624471522287,"[2, 3, 4, 7, 9, 10, 11, 12, 13, 16, 17, 18, 24, 25]"
121,9_10_11_25_dhn_101,101,0.0902226092878197,685111508.1793469,10.79556584742257,"[9, 10, 11, 25]"
122,2_3_4_9_10_11_12_13_24_25_dhn_101,101,0.10416803123480775,938817987.810067,7.939394628438585,"[2, 3, 4, 9, 10, 11, 12, 13, 24, 25]"
